sample;Acidovorax.sp..KKS102_O164;Escherichia.coli_O1;Fusobacterium.animalis_O65;Fusobacterium.nucleatum_O61;Porphyromonas.asaccharolytica_O1388;Prevotella.bivia_O1436;Pseudomonas.fragi_O1425;Psychrobacter.sp..PAMC27889_O175;Rahnella.aquatilis_O101;Raoultella.terrigena_O162;Streptococcus.agalactiae_O63;Streptococcus.anginosus_O59;Streptococcus.constellatus_O66;Streptococcus.dysgalactiae_O64;Streptococcus.gordonii_O71;Streptococcus.intermedius_O69;Streptococcus.milleri_O68;Streptococcus.periodonticum_O60;Streptococcus.sp..KS.6_O67;Streptococcus.sp..NSJ.72_O70;Streptococcus.suis_O62;parvum_O1478;Ureaplasma.urealyticum_O1479
VERDY17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.338903882;0
VERDY18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY19;1.758857378;0;0;0;0;0;1.787686042;1.878805212;1.002328029;2.367165067;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY23;0;0;0;0;4.793110691;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.2296728;0
VERDY40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY49;0;0;17.4937235;4.303738293;0;0;0;0;0;0;3.736756847;242.7559822;14.01873053;1.386299001;1.123053243;6.302178284;7.559197025;80.28970862;8.017134062;4.344236038;2.453277843;0;0
VERDY5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY52;0;92.34402032;0;0;0;18.27063416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.556364606;0
VERDY53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.60293164
VERDY65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY9;0;2.420893037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.093752024;0
